rank,experiment_id,primary_score,val_track_6h,val_track_12h,val_track_24h,mean_wind_mae,mean_wind_rmse,status
1,EXP005,113.07414085,79.84307659,101.16757376,158.21177220,14.00605806,17.26131884,PASS
2,EXP003,127.15301770,98.72286303,111.02801417,171.70817590,13.69124492,17.21285629,PASS
3,EXP006,127.15302786,98.72288530,111.02799440,171.70820389,13.69124349,17.21285534,PASS
4,EXP004,140.47550704,107.72315045,136.93023975,176.77313091,14.14003404,17.26810137,PASS
5,EXP002,147.22877819,114.02046006,137.62662210,190.03925243,13.48374526,16.81888326,PASS
6,EXP001,166.82257509,141.69515887,161.57015306,197.20241334,13.58061028,17.28031476,PASS
