iter	RMSE
0	208.3024691
1	202.411504
2	196.8088973
3	191.6897863
4	186.6142352
5	181.6391179
6	177.0382648
7	172.47223
8	168.268565
9	164.2054514
10	160.5588765
11	157.1090554
12	153.7502681
13	150.5944039
14	148.0263982
15	145.2682329
16	142.7759179
17	140.3731405
18	137.8157856
19	135.6965669
20	133.9644453
21	131.7374235
22	129.9435122
23	128.2599761
24	126.7691563
25	125.213203
26	123.6284656
27	122.3813707
28	120.7800104
29	119.091192
30	117.7185686
31	116.6218882
32	115.5361146
33	114.6344047
34	113.5148688
35	112.6865934
36	111.9093094
37	110.8441719
38	110.0454087
39	109.0442258
40	108.3519014
41	107.4528588
42	106.7380862
43	106.0985627
44	105.3466387
45	104.5359781
46	104.0443527
47	103.4751123
48	102.9131531
49	102.3598599
50	101.9108608
51	101.4542516
52	100.8350417
53	100.3780489
54	100.0051094
55	99.53562256
56	99.25926267
57	98.71607364
58	98.43617676
59	98.05004125
60	97.38985607
61	97.03764432
62	96.68573876
63	96.28336079
64	96.01050735
65	95.52901659
66	95.18619989
67	94.52368912
68	94.20867062
69	93.91015
70	93.64247549
71	93.35814922
72	92.97653184
73	92.67783846
74	92.40805244
75	92.02288181
76	91.78067094
77	91.61780513
78	91.42229844
79	91.16428635
80	90.76618839
81	90.51793632
82	90.37308978
83	90.05561484
84	89.79954462
85	89.58780355
86	89.37245695
87	89.09326409
88	88.90398258
89	88.61560118
90	88.43392708
91	88.1852308
92	87.83235858
93	87.35482233
94	87.17142519
95	87.02462982
96	86.84771109
97	86.55194181
98	86.38160238
99	86.23269316
100	86.07068572
101	85.7576992
102	85.60637616
103	85.4718611
104	85.33143483
105	85.0518257
106	84.84635471
107	84.62460099
108	84.39360796
109	84.17365614
110	84.04106771
111	83.8015968
112	83.66552772
113	83.58646941
114	83.51215511
115	83.37721765
116	83.25434503
117	83.10294862
118	82.89233796
119	82.66743334
120	82.45954767
121	82.19742807
122	81.8960666
123	81.76913427
124	81.633284
125	81.51763934
126	81.06289693
127	80.69865614
128	80.60450903
129	80.42443835
130	80.36168886
131	80.13718917
132	80.0054013
133	79.9042589
134	79.71671645
135	79.45114009
136	79.2310495
137	79.08051679
138	78.67100842
139	78.45320861
140	78.3375762
141	77.95636932
142	77.91164116
143	77.66264142
144	77.41324392
145	77.25732557
146	77.08406766
147	76.6073138
148	76.39900499
149	76.24129417
150	76.13598026
151	75.96492349
152	75.85990759
153	75.74401063
154	75.64717211
155	75.48361234
156	75.31856511
157	75.12213005
158	75.01906985
159	74.9177543
160	74.72103109
161	74.6308482
162	74.44116034
163	74.30544418
164	73.98235091
165	73.87363804
166	73.70646438
167	73.57596867
168	73.5349793
169	73.42042844
170	73.27602221
171	73.18710461
172	73.10624849
173	72.79029444
174	72.563579
175	72.41148928
176	72.26939306
177	72.16054669
178	71.90111009
179	71.70895807
180	71.51650988
181	71.36187373
182	71.19502873
183	71.12344597
184	70.9521806
185	70.72302636
186	70.6029364
187	70.47805287
188	70.42592929
189	70.14187133
190	70.10702051
191	70.05699553
192	69.94889428
193	69.75635435
194	69.67721352
195	69.5115138
196	69.40798035
197	69.20205514
198	69.14607276
199	69.05766818
200	68.8790901
201	68.84449494
202	68.62572522
203	68.52834097
204	68.44471274
205	68.24873923
206	68.06239851
207	68.01173804
208	67.84342507
209	67.81488325
210	67.72506278
211	67.69227273
212	67.40839995
213	67.25949596
214	67.00913562
215	66.86851031
216	66.78836877
217	66.70793948
218	66.49558079
219	66.31722668
220	66.10580592
221	65.96595958
222	65.76264396
223	65.6861853
224	65.5816565
225	65.53200646
226	65.47069523
227	65.41255273
228	65.31948364
229	65.18267179
230	65.09600253
231	65.06428831
232	64.92470946
233	64.78740277
234	64.65983211
235	64.4274297
236	64.41392355
237	64.26213179
238	64.11854755
239	63.94742344
240	63.80893623
241	63.5870636
242	63.37842285
243	63.18179271
244	63.14403982
245	62.97631576
246	62.84653503
247	62.75587587
248	62.52189806
249	62.32814211
250	62.18948233
251	62.13435297
252	62.08020714
253	61.96166696
254	61.76799366
255	61.68133818
256	61.53735115
257	61.43695172
258	61.29507125
259	61.24307088
260	61.09238702
261	60.90581171
262	60.80733723
263	60.61998774
264	60.44910767
265	60.36456133
266	60.22125856
267	60.07533466
268	59.94042512
269	59.80083445
270	59.61695414
271	59.45375384
272	59.44752658
273	59.24710101
274	59.1190241
275	59.02277858
276	58.89557081
277	58.84442748
278	58.77040214
279	58.66781735
280	58.50917053
281	58.3868851
282	58.24171245
283	58.09736882
284	57.93585876
285	57.77350898
286	57.65762238
287	57.55964951
288	57.50594951
289	57.36531882
290	57.24792514
291	57.15022421
292	57.05386718
293	56.95910617
294	56.8570046
295	56.74952143
296	56.57546171
297	56.43045081
298	56.35383968
299	56.17922026
300	56.11303177
301	56.01097748
302	55.91054827
303	55.78457887
304	55.7301291
305	55.63830511
306	55.51024644
307	55.40966881
308	55.34907324
309	55.28721012
310	55.15869541
311	55.077985
312	55.02708827
313	54.80802395
314	54.68879442
315	54.54143112
316	54.39297515
317	54.24807091
318	54.1578276
319	54.06736567
320	53.95271566
321	53.86142766
322	53.81676843
323	53.73472435
324	53.6144855
325	53.54805285
326	53.47551339
327	53.41428311
328	53.37842897
329	53.17996107
330	52.99452386
331	52.87955312
332	52.7971214
333	52.71769452
334	52.63717889
335	52.56680859
336	52.48427088
337	52.4060425
338	52.30055445
339	52.22159866
340	52.04393026
341	52.032725
342	51.95518037
343	51.87373044
344	51.79878302
345	51.70465316
346	51.60322198
347	51.5168171
348	51.46898881
349	51.43149548
350	51.33479009
351	51.26663948
352	51.1891294
353	51.12519382
354	51.06689347
355	50.98065697
356	50.87061696
357	50.78404142
358	50.72013351
359	50.54861442
360	50.390905
361	50.26229797
362	50.25261864
363	50.17722456
364	50.05939213
365	49.91648655
366	49.82876222
367	49.67873812
368	49.55484599
369	49.49177832
370	49.41666803
371	49.33079573
372	49.23484589
373	49.13589424
374	49.0406277
375	48.91513372
376	48.82450808
377	48.74238298
378	48.64321058
379	48.56241225
380	48.52378557
381	48.4016468
382	48.35484097
383	48.20897563
384	48.10260728
385	48.01549762
386	47.89281778
387	47.82748502
388	47.76600811
389	47.68279956
390	47.61752836
391	47.57450419
392	47.55446817
393	47.49121401
394	47.40620638
395	47.31641347
396	47.24234795
397	47.10974417
398	47.01096216
399	46.95368653
