experiment_id,model,features,loss,hidden_size,layers,dropout,learning_rate,batch_size,best_epoch,best_val_loss,val_primary_score,val_track_6h,val_track_12h,val_track_24h,val_wind_mae_6h,val_wind_mae_12h,val_wind_mae_24h,val_wind_rmse_6h,val_wind_rmse_12h,val_wind_rmse_24h,status
EXP001,improved_lstm,16,mse,64,1,0.0,0.001,64,38,0.07330712940527763,166.82257509247853,141.69515887039668,161.5701530648459,197.20241334219298,8.42062759399414,11.711254119873047,20.609949111938477,10.664047241210938,15.387325286865234,25.78957176208496,PASS
EXP002,improved_lstm,16,mse,96,2,0.1,0.001,64,36,0.06852169873523506,147.22877819428768,114.02046005955789,137.62662209631574,190.03925242698946,9.21546459197998,11.619319915771484,19.616451263427734,11.669197082519531,14.90560531616211,23.881847381591797,PASS
EXP003,gru,16,mse,96,2,0.1,0.001,64,31,0.06961100142110478,127.15301770054243,98.72286303428844,111.02801417120843,171.70817589613046,7.8484368324279785,11.792434692382812,21.432863235473633,10.157442092895508,15.101356506347656,26.379770278930664,PASS
EXP004,multitask_lstm,16,mse,96,2,0.1,0.001,64,30,0.07013794150832411,140.47550703503614,107.72315045004844,136.93023974788835,176.7731309071716,9.207263946533203,12.468365669250488,20.74447250366211,11.425877571105957,15.672247886657715,24.706178665161133,PASS
EXP005,gru,16,huber,96,2,0.1,0.001,64,16,0.03382676631792799,113.07414084856835,79.8430765890122,101.16757375743805,158.21177219925482,7.555985450744629,11.908552169799805,22.55363655090332,9.49712085723877,15.208231925964355,27.078603744506836,PASS
EXP006,gru,16,weighted,96,2,0.1,0.001,64,31,0.069610999808425,127.15302786307443,98.72288529685147,111.02799439932596,171.70820389304583,7.848437309265137,11.792433738708496,21.432859420776367,10.157442092895508,15.10135555267334,26.37976837158203,PASS
