cyclone_id,t_zero,t_minus_24h,t_plus_24h,origin_lat,origin_lon,origin_wind,target_6h_lat,target_6h_lon,target_6h_wind,target_12h_lat,target_12h_lon,target_12h_wind,target_24h_lat,target_24h_lon,target_24h_wind,quality_status,quality_detail,source_split,original_sample_index
2013130N04093,2013-05-11 09:00:00,2013-05-10 09:00:00,2013-05-12 09:00:00,7.9,89.7,64.8,8.7,88.8,74.1,9.4,88.3,74.1,10.3,87.1,74.1,CLEAN,CLEAN,train,5
2013130N04093,2013-05-11 12:00:00,2013-05-10 12:00:00,2013-05-12 12:00:00,8.3,89.2,74.1,9.1,88.7,74.1,9.8,87.9,74.1,10.4,87.0,74.1,CLEAN,CLEAN,train,6
2013130N04093,2013-05-11 15:00:00,2013-05-10 15:00:00,2013-05-12 15:00:00,8.7,88.8,74.1,9.4,88.3,74.1,9.8,87.5,74.1,10.5,86.7,74.1,CLEAN,CLEAN,train,7
2013130N04093,2013-05-11 18:00:00,2013-05-10 18:00:00,2013-05-12 18:00:00,9.1,88.7,74.1,9.8,87.9,74.1,10.0,87.5,74.1,10.9,86.6,74.1,CLEAN,CLEAN,train,8
2013130N04093,2013-05-11 21:00:00,2013-05-10 21:00:00,2013-05-12 21:00:00,9.4,88.3,74.1,9.8,87.5,74.1,10.3,87.1,74.1,11.0,86.5,74.1,CLEAN,CLEAN,train,9
2013130N04093,2013-05-12 00:00:00,2013-05-11 00:00:00,2013-05-13 00:00:00,9.8,87.9,74.1,10.0,87.5,74.1,10.4,87.0,74.1,11.5,86.5,74.1,CLEAN,CLEAN,train,10
2013130N04093,2013-05-12 03:00:00,2013-05-11 03:00:00,2013-05-13 03:00:00,9.8,87.5,74.1,10.3,87.1,74.1,10.5,86.7,74.1,11.8,86.4,74.1,CLEAN,CLEAN,train,11
2013130N04093,2013-05-12 06:00:00,2013-05-11 06:00:00,2013-05-13 06:00:00,10.0,87.5,74.1,10.4,87.0,74.1,10.9,86.6,74.1,12.0,86.4,74.1,CLEAN,CLEAN,train,12
2013130N04093,2013-05-12 09:00:00,2013-05-11 09:00:00,2013-05-13 09:00:00,10.3,87.1,74.1,10.5,86.7,74.1,11.0,86.5,74.1,12.0,85.9,74.1,CLEAN,CLEAN,train,13
2013130N04093,2013-05-12 12:00:00,2013-05-11 12:00:00,2013-05-13 12:00:00,10.4,87.0,74.1,10.9,86.6,74.1,11.5,86.5,74.1,12.2,85.8,74.1,CLEAN,CLEAN,train,14
