iter	MultiClass
0	1.888535152
1	1.840265632
2	1.79623696
3	1.757174359
4	1.72645357
5	1.697832136
6	1.668480258
7	1.638642087
8	1.617216701
9	1.594902849
10	1.571840293
11	1.552056225
12	1.530207788
13	1.512424001
14	1.496528009
15	1.479132764
16	1.463953848
17	1.451213192
18	1.439644821
19	1.426752556
20	1.415184907
21	1.402579366
22	1.392555514
23	1.383158149
24	1.374264121
25	1.365947352
26	1.359699519
27	1.34973924
28	1.34187342
29	1.334637679
30	1.326210759
31	1.319907047
32	1.311220247
33	1.304829565
34	1.298633929
35	1.28985783
36	1.283910285
37	1.277247812
38	1.271377291
39	1.267129776
40	1.262507061
41	1.257472363
42	1.253838977
43	1.248816952
44	1.242744063
45	1.239205306
46	1.234314283
47	1.23060852
48	1.226782315
49	1.222613447
50	1.218846855
51	1.214700595
52	1.210767467
53	1.206777855
54	1.202649667
55	1.19904733
56	1.195961707
57	1.191896726
58	1.187856032
59	1.1846274
60	1.180411748
61	1.175829316
62	1.172166422
63	1.169053406
64	1.165813124
65	1.163658296
66	1.16156961
67	1.157521934
68	1.154123963
69	1.151826529
70	1.148991384
71	1.146957296
72	1.144251954
73	1.141384869
74	1.13880122
75	1.136242671
76	1.132705868
77	1.129847842
78	1.127735108
79	1.124710231
80	1.122337994
81	1.118872937
82	1.115781602
83	1.11437981
84	1.11269295
85	1.110075099
86	1.107824414
87	1.105908675
88	1.10436739
89	1.102378705
90	1.100307973
91	1.097164221
92	1.09512034
93	1.092629364
94	1.090899809
95	1.087942183
96	1.086060563
97	1.084444803
98	1.081202882
99	1.079159276
100	1.076210936
101	1.074052415
102	1.072563538
103	1.070882386
104	1.069244231
105	1.06694375
106	1.065067644
107	1.063751196
108	1.061606067
109	1.05864743
110	1.057629803
111	1.05600196
112	1.054121715
113	1.052810951
114	1.051061296
115	1.049751454
116	1.048303793
117	1.046642629
118	1.045224817
119	1.044365242
120	1.04243775
121	1.041282922
122	1.039926455
123	1.038788554
124	1.036872429
125	1.035830502
126	1.034270668
127	1.032621292
128	1.030847286
129	1.029410022
130	1.029052224
131	1.027678589
132	1.02619177
133	1.024979893
134	1.023908449
135	1.02295711
136	1.020957437
137	1.019826623
138	1.018587192
139	1.017695145
140	1.017164178
141	1.016085537
142	1.01488968
143	1.013853174
144	1.01276408
145	1.011408912
146	1.010176247
147	1.008761372
148	1.007065513
149	1.005606139
150	1.004129874
151	1.00231617
152	1.001402618
153	1.000415559
154	0.9992745856
155	0.9979281718
156	0.9961470127
157	0.9938560783
158	0.9926152696
159	0.9909684384
160	0.9897458452
161	0.9883497818
162	0.9870471654
163	0.9860104201
164	0.985051955
165	0.9837720551
166	0.9828792479
167	0.9819971973
168	0.9804187911
169	0.979483553
