iter	RMSE
0	127.1295884
1	125.9359034
2	124.5804154
3	123.5102312
4	122.4988401
5	121.4861543
6	120.4367337
7	119.3927891
8	118.4147258
9	117.4964154
10	116.8142254
11	115.6406899
12	114.73743
13	113.8955835
14	113.0163364
15	112.3185177
16	111.8355787
17	111.2558802
18	110.5368846
19	109.8775055
20	109.4030594
21	108.7710244
22	108.0831249
23	107.4160189
24	106.7117491
25	106.0770957
26	105.5077359
27	105.0317617
28	104.4669413
29	103.9416485
30	103.2882316
31	103.0792973
32	102.7475217
33	102.3145519
34	102.0527423
35	101.6201904
36	101.273423
37	100.9632823
38	100.6490406
39	100.3363412
40	100.0093525
41	99.62598009
42	99.29500512
43	98.88965614
44	98.50664029
45	98.00900801
46	97.83553254
47	97.45430161
48	97.12636332
49	96.8909185
50	96.68335638
51	96.30723763
52	95.87077396
53	95.60331875
54	95.46051207
55	95.01402358
56	94.85345932
57	94.64927743
58	94.47194707
59	94.13524093
60	93.99292513
61	93.48073428
62	93.18713835
63	92.97026581
64	92.85891815
65	92.50640639
66	92.3465951
67	91.9189708
68	91.48928441
69	91.3565192
70	91.23381937
71	91.05794302
72	90.74371348
73	90.64811153
74	90.4107523
75	90.21693361
76	90.05761097
77	89.91871797
78	89.79222642
79	89.64217987
80	89.52092195
81	89.34370534
82	89.04844586
83	88.79150455
84	88.60884819
85	88.24640133
86	87.91262693
87	87.7464731
88	87.5569944
89	87.40381425
90	87.15109537
91	86.9641636
92	86.63187776
93	86.5209338
94	86.3634795
95	86.20681348
96	86.06292783
97	85.8238123
98	85.58332085
99	85.48199292
100	85.42321564
101	85.21618433
102	85.08854889
103	84.68590224
104	84.40979151
105	84.10851207
106	83.81730929
107	83.55965831
108	83.41211364
109	83.27803413
110	82.97252181
111	82.82629357
112	82.56958126
113	82.44429003
114	82.3080769
115	82.09648331
116	81.753765
117	81.51004682
118	81.26876687
119	80.93255252
120	80.75435345
121	80.53131459
122	80.36409336
123	80.13226286
124	79.98194511
125	79.8524364
126	79.63613822
127	79.52759656
128	79.44743722
129	79.2058619
130	79.14442941
131	78.85928628
132	78.61903483
133	78.40208456
134	78.26206487
135	78.08252929
136	77.94750652
137	77.8633698
138	77.49201059
139	77.31469296
140	77.12330796
141	76.94665388
142	76.75526193
143	76.59561044
144	76.14991719
145	75.92844263
146	75.80037074
147	75.56849489
148	75.34690464
149	75.17373248
150	75.06232607
151	74.85133675
152	74.58854277
153	74.22353783
154	74.09666238
155	73.91444847
156	73.77679932
157	73.50765077
158	73.2941518
159	72.92318045
160	72.7767334
161	72.67700361
162	72.3286613
163	72.15025002
164	71.93835902
165	71.69852099
166	71.58264341
167	71.40656368
168	71.10189879
169	70.85296855
170	70.70174055
171	70.5630948
172	70.3706538
173	70.31920907
174	70.12498079
175	69.92274322
176	69.76130592
177	69.66384899
178	69.51266979
179	69.34067782
180	69.24805389
181	69.07601485
182	68.8722005
183	68.64487271
184	68.43742122
185	68.27659972
186	68.04512615
187	67.8746516
188	67.74403243
189	67.63273645
190	67.50197793
191	67.23673282
192	67.08225821
193	66.87466569
194	66.78428565
195	66.72383103
196	66.58082327
197	66.41955332
198	66.26067933
199	66.03501758
200	65.90468965
201	65.75751751
202	65.59279564
203	65.35537146
204	65.29964014
205	65.13835971
206	64.95389153
207	64.74615361
208	64.62157875
209	64.4018548
210	64.31499346
211	64.17307258
212	63.87219254
213	63.74243264
214	63.57700718
215	63.43131989
216	63.29515302
217	63.10283258
218	62.9286966
219	62.88602366
220	62.76017228
221	62.72430427
222	62.58733614
223	62.36803145
224	62.24170242
225	61.99635196
226	61.85976737
227	61.82370711
228	61.78688644
229	61.69175291
230	61.53914334
231	61.4309439
232	61.29371687
233	61.15653647
234	60.95652453
235	60.75795772
236	60.64397002
237	60.49333075
238	60.35185457
239	60.24752739
240	60.14582517
241	59.99740582
242	59.82557174
243	59.66970583
244	59.53773989
245	59.26687703
246	59.16802051
247	59.02960162
248	58.90719331
249	58.8264715
250	58.72200252
251	58.5649118
252	58.50308371
253	58.40549811
254	58.27449668
255	58.13968349
256	58.02853694
257	57.73901054
258	57.57144185
259	57.44376494
260	57.31943128
261	57.25291212
262	57.13750145
263	57.02543454
264	56.88427387
265	56.75906534
266	56.63131419
267	56.43660486
268	56.22785224
269	56.07349478
270	55.93604292
271	55.77431965
272	55.63471229
273	55.59259643
274	55.55710637
275	55.45767025
276	55.29167555
277	55.195313
278	55.10512233
279	55.07891295
280	54.93845296
281	54.77568311
282	54.54936739
283	54.40207488
284	54.22521226
285	54.12096735
286	54.03029727
287	53.79337133
288	53.6443729
289	53.61800069
290	53.54519607
291	53.35854945
292	53.22549401
293	53.03057468
294	52.86281839
295	52.73422055
296	52.61162725
297	52.52726509
298	52.43912321
299	52.34670855
300	52.26743362
301	52.13489546
302	52.01884283
303	51.92893981
304	51.86231086
305	51.6713505
306	51.5446566
307	51.46605427
308	51.40980807
309	51.37886058
310	51.34400284
311	51.26614929
312	51.16037797
